iter	Passed	Remaining
609	25041	57062
610	25067	56986
611	25091	56907
612	25132	56866
613	25159	56792
614	25183	56714
615	25211	56643
616	25238	56571
617	25267	56503
618	25291	56426
619	25317	56351
620	25347	56287
621	25376	56220
622	25405	56153
623	25440	56100
624	25489	56076
625	25528	56032
626	25569	55991
627	25594	55916
628	25622	55848
629	25653	55785
630	25685	55725
631	25711	55654
632	25738	55583
633	25766	55515
634	25796	55453
635	25822	55380
636	25850	55311
637	25884	55257
638	25908	55182
639	25934	55111
640	25963	55045
641	25988	54973
642	26014	54902
643	26040	54831
644	26068	54765
645	26099	54703
646	26130	54644
647	26170	54602
648	26194	54529
649	26220	54458
650	26250	54397
651	26280	54334
652	26305	54262
653	26332	54195
654	26359	54127
655	26388	54065
656	26414	53994
657	26439	53923
658	26468	53860
659	26497	53798
660	26530	53743
661	26581	53725
662	26608	53659
663	26637	53595
664	26663	53527
665	26692	53464
666	26719	53398
667	26747	53334
668	26777	53275
669	26804	53208
670	26830	53142
671	26858	53078
672	26886	53013
673	26914	52951
674	26941	52884
675	26969	52821
676	26998	52761
677	27026	52697
678	27053	52632
679	27083	52573
680	27109	52507
681	27138	52446
682	27189	52428
683	27219	52370
684	27247	52306
685	27276	52247
686	27302	52180
687	27328	52115
688	27354	52049
689	27379	51981
690	27409	51923
691	27437	51861
692	27466	51802
693	27496	51744
694	27523	51681
695	27552	51622
696	27613	51622
697	27640	51558
698	27668	51497
699	27690	51425
700	27714	51356
701	27743	51297
702	27771	51237
703	27797	51172
704	27823	51108
705	27850	51045
706	27878	50986
707	27904	50921
708	27934	50864
709	27960	50800
710	27988	50742
711	28014	50677
712	28041	50616
713	28071	50560
714	28099	50501
715	28127	50441
716	28160	50390
717	28202	50356
718	28229	50293
719	28255	50231
720	28282	50170
721	28309	50110
722	28337	50050
723	28363	49987
724	28389	49925
725	28415	49864
726	28446	49810
727	28474	49751
728	28503	49695
729	28532	49639
730	28584	49622
731	28614	49566
732	28640	49505
733	28670	49451
734	28698	49392
735	28727	49336
736	28758	49283
737	28785	49224
738	28813	49165
739	28839	49104
740	28866	49045
741	28891	48982
742	28921	48928
743	28948	48870
744	28977	48813
745	29005	48757
746	29031	48695
747	29060	48640
748	29089	48585
749	29115	48525
750	29143	48468
751	29169	48409
752	29221	48391
753	29245	48329
754	29273	48272
755	29301	48216
756	29329	48159
757	29357	48102
758	29387	48049
759	29412	47988
760	29440	47933
761	29468	47876
762	29499	47825
763	29526	47768
764	29552	47708
765	29604	47692
766	29631	47633
767	29657	47575
768	29685	47520
769	29715	47468
770	29761	47440
771	29799	47401
772	29828	47347
773	29856	47292
774	29883	47234
775	29910	47178
776	29938	47123
777	29969	47072
778	29995	47015
779	30021	46957
780	30049	46901
781	30062	46823
782	30089	46767
783	30108	46698
784	30139	46648
785	30172	46602
786	30224	46584
787	30251	46529
788	30280	46476
789	30308	46422
790	30337	46369
791	30365	46314
792	30393	46261
793	30420	46205
794	30447	46150
795	30474	46094
796	30503	46041
797	30528	45983
798	30555	45929
799	30612	45919
800	30642	45867
801	30672	45817
802	30705	45771
803	30732	45716
804	30764	45668
805	30795	45620
806	30822	45564
807	30850	45511
808	30879	45459
809	30907	45407
810	30933	45351
811	30961	45298
812	30986	45241
813	31013	45186
814	31040	45132
815	31068	45079
816	31094	45024
817	31120	44968
818	31149	44917
819	31175	44862
820	31203	44810
821	31251	44786
822	31278	44732
823	31307	44681
824	31334	44628
825	31361	44574
826	31389	44521
827	31414	44465
828	31441	44412
829	31470	44362
830	31499	44311
831	31526	44258
832	31554	44207
833	31604	44185
834	31635	44137
835	31666	44090
836	31691	44035
837	31718	43982
838	31750	43936
839	31776	43882
840	31805	43831
841	31831	43777
842	31857	43723
843	31883	43670
844	31909	43616
845	31936	43563
846	31963	43510
847	31991	43459
848	32017	43406
849	32047	43358
850	32074	43305
851	32100	43252
852	32126	43199
853	32151	43145
854	32179	43094
855	32208	43045
856	32259	43025
857	32287	42974
858	32314	42922
859	32340	42869
860	32369	42821
861	32396	42769
862	32428	42725
863	32454	42672
864	32485	42625
865	32514	42576
866	32548	42534
867	32575	42483
868	32630	42468
869	32657	42417
870	32684	42365
871	32710	42312
872	32743	42270
873	32771	42220
874	32800	42172
875	32830	42124
876	32856	42072
877	32887	42026
878	32913	41974
879	32941	41926
880	32972	41879
881	32998	41828
882	33026	41778
883	33054	41729
884	33085	41684
885	33115	41636
886	33147	41593
887	33178	41547
888	33203	41494
889	33231	41446
890	33285	41429
891	33314	41381
892	33351	41344
893	33379	41294
894	33408	41246
895	33433	41195
896	33464	41149
897	33490	41099
898	33517	41049
899	33549	41004
900	33574	40952
901	33623	40929
902	33652	40882
903	33679	40832
904	33704	40780
905	33734	40734
906	33761	40684
907	33789	40636
908	33815	40585
909	33840	40534
910	33869	40486
911	33896	40438
912	33925	40390
913	33977	40371
914	34021	40342
915	34116	40373
916	34234	40432
917	34467	40625
918	34649	40757
919	34934	41010
920	35177	41212
921	35513	41522
922	35719	41678
923	35901	41807
924	36163	42027
925	36362	42173
926	36645	42416
927	36980	42719
928	37145	42823
929	37286	42899
930	37440	42990
931	37589	43074
932	37713	43129
933	37836	43183
934	37975	43256
935	38151	43368
936	38307	43459
937	38489	43577
938	38617	43634
939	38736	43681
940	38920	43801
941	39003	43806
942	39048	43769
943	39090	43728
944	39128	43682
945	39172	43644
946	39210	43599
947	39248	43553
948	39283	43505
949	39315	43453
950	39348	43403
951	39382	43354
952	39417	43305
953	39448	43253
954	39483	43204
955	39512	43149
956	39564	43119
957	39592	43064
958	39620	43007
959	39650	42954
960	39677	42898
961	39718	42855
962	39747	42801
963	39773	42743
964	39801	42688
965	39854	42660
966	39880	42602
967	39908	42547
968	39935	42490
969	39964	42437
970	39993	42382
971	40018	42324
972	40073	42297
973	40101	42242
974	40129	42187
975	40161	42137
976	40188	42080
977	40213	42023
978	40242	41968
979	40269	41913
980	40329	41891
981	40450	41933
982	40600	42005
983	40736	42061
984	40913	42160
985	41060	42226
986	41160	42244
987	41282	42284
988	41414	42336
989	41533	42372
990	41607	42363
991	41635	42307
992	41661	42248
993	41688	42192
994	41716	42135
995	41743	42078
996	41769	42021
997	41799	41966
998	41826	41910
999	41857	41857
1000	41910	41826
1001	41935	41768
1002	41962	41711
1003	41989	41655
1004	42015	41597
1005	42031	41530
1006	42058	41473
1007	42084	41416
1008	42116	41365
1009	42143	41309
1010	42172	41254
1011	42202	41201
1012	42226	41142
1013	42250	41083
1014	42277	41027
1015	42307	40974
1016	42334	40919
1017	42361	40863
1018	42394	40813
1019	42420	40757
1020	42455	40709
1021	42483	40654
1022	42512	40600
1023	42545	40551
1024	42571	40494
1025	42623	40463
1026	42650	40408
1027	42680	40355
1028	42717	40309
1029	42744	40254
1030	42771	40199
1031	42799	40144
1032	42825	40089
1033	42859	40041
1034	42901	40000
1035	42943	39959
1036	42971	39904
1037	42997	39849
1038	43025	39795
1039	43052	39740
1040	43079	39685
1041	43113	39637
1042	43140	39583
1043	43167	39528
1044	43192	39472
1045	43222	39420
1046	43251	39368
1047	43281	39316
1048	43309	39263
1049	43336	39209
1050	43365	39156
1051	43395	39105
1052	43423	39052
1053	43453	39000
1054	43483	38949
1055	43510	38895
1056	43535	38840
1057	43561	38785
1058	43590	38733
1059	43641	38700
1060	43672	38650
1061	43698	38595
1062	43725	38542
1063	43754	38490
1064	43779	38435
1065	43802	38378
1066	43829	38325
1067	43856	38271
1068	43884	38219
1069	43938	38189
1070	43967	38137
1071	43996	38086
1072	44026	38036
1073	44052	37982
1074	44082	37931
1075	44111	37880
1076	44137	37826
1077	44166	37775
1078	44178	37709
1079	44206	37657
1080	44234	37605
1081	44264	37555
1082	44293	37504
1083	44320	37451
1084	44346	37398
1085	44376	37347
1086	44401	37293
1087	44430	37243
1088	44454	37188
1089	44479	37134
1090	44507	37082
1091	44534	37030
1092	44563	36979
1093	44589	36926
1094	44621	36879
1095	44664	36839
1096	44690	36787
1097	44717	36735
1098	44746	36684
1099	44772	36632
1100	44801	36581
1101	44830	36531
1102	44856	36479
1103	44881	36425
1104	44908	36373
1105	44968	36349
1106	44994	36296
1107	45023	36246
1108	45051	36195
1109	45069	36136
1110	45096	36084
1111	45120	36031
1112	45145	35978
1113	45172	35926
1114	45197	35874
1115	45228	35826
1116	45258	35777
1117	45285	35726
1118	45322	35683
1119	45348	35631
1120	45378	35582
1121	45409	35534
1122	45435	35482
1123	45461	35430
1124	45488	35380
1125	45515	35329
1126	45542	35278
1127	45568	35227
1128	45595	35175
1129	45622	35125
1130	45672	35092
1131	45699	35041
1132	45727	34991
1133	45753	34940
1134	45779	34888
1135	45804	34837
1136	45828	34784
1137	45856	34734
1138	45882	34683
1139	45911	34635
1140	45937	34583
1141	46002	34562
1142	46030	34513
1143	46058	34463
1144	46082	34411
1145	46110	34361
1146	46134	34309
1147	46160	34258
1148	46191	34211
1149	46219	34162
1150	46248	34113
1151	46278	34065
1152	46304	34015
1153	46331	33965
1154	46360	33917
1155	46386	33867
1156	46415	33818
1157	46440	33767
1158	46468	33718
1159	46494	33668
1160	46522	33619
1161	46550	33570
1162	46581	33524
1163	46608	33474
1164	46634	33424
1165	46684	33391
1166	46720	33349
1167	46749	33301
1168	46776	33251
1169	46803	33202
1170	46833	33155
1171	46859	33105
1172	46886	33056
1173	46912	33006
1174	46937	32956
1175	46963	32906
1176	47021	32879
1177	47048	32830
1178	47075	32781
1179	47101	32731
1180	47129	32683
1181	47157	32635
1182	47184	32586
1183	47213	32538
1184	47241	32490
1185	47268	32442
1186	47293	32392
1187	47319	32342
1188	47350	32297
1189	47387	32255
1190	47412	32205
1191	47435	32154
1192	47461	32105
1193	47486	32055
1194	47508	32003
1195	47534	31954
1196	47558	31904
1197	47583	31854
1198	47609	31805
1199	47636	31757
1200	47679	31720
1201	47707	31672
1202	47731	31622
1203	47754	31572
1204	47780	31523
1205	47808	31475
1206	47833	31426
1207	47858	31377
1208	47884	31329
1209	47911	31281
1210	47940	31234
