iter	MAE	RMSE
1340	0.6014147974	0.785180194
1345	0.6013869575	0.7851369003
1350	0.6013296425	0.7850389013
1355	0.6012931359	0.7849989327
1360	0.6012398681	0.784949796
1365	0.6011751128	0.7848764106
1370	0.6011099486	0.7847831194
1375	0.6010739735	0.7847468886
1380	0.6010171082	0.7846961732
1385	0.6009880827	0.7846579325
1390	0.6009393936	0.7845909287
1395	0.6008968775	0.7845538814
1400	0.6008506412	0.7844903341
1405	0.600791323	0.7844271465
1410	0.6007158161	0.7843483438
1415	0.6006724006	0.7842997396
1420	0.6006264096	0.7842458936
1425	0.6005838935	0.7842022355
1430	0.6005508208	0.7841626153
1435	0.60050855	0.7841016432
1440	0.6004721251	0.7840419699
1445	0.6004192253	0.783993086
1450	0.6003850897	0.7839643278
1455	0.6003098689	0.7839012542
1460	0.6002324814	0.7838428695
1465	0.6001875533	0.7838079253
1470	0.6001346943	0.7837417355
1475	0.600094999	0.7836835476
1480	0.6000700208	0.7836378758
1485	0.6000198599	0.7835628545
1490	0.5999890766	0.7835301413
1495	0.59992751	0.7834717028
1500	0.5998682327	0.7834075199
1505	0.5998566635	0.783393378
1510	0.5997792759	0.7833238132
1515	0.5997115363	0.7832595137
1520	0.599670451	0.7832129298
1525	0.5996431426	0.7831827858
1530	0.5995602362	0.7830744145
1535	0.5995271635	0.7830369561
1540	0.5995135911	0.7830142191
1545	0.599492006	0.7829795772
1550	0.5994783927	0.7829561076
1555	0.5994292947	0.7829090879
1560	0.5993458568	0.7828090867
1565	0.5993179352	0.7827784832
1570	0.5993075923	0.7827643823
1575	0.5992456987	0.7826945526
1580	0.599174893	0.7826163067
1585	0.5991201126	0.7825465683
1590	0.5990925589	0.7825129767
1595	0.5990519233	0.7824586159
1600	0.5990073631	0.7824238189
1605	0.5989783377	0.7823880275
1610	0.5989462871	0.7823589751
1615	0.5989255196	0.7823360094
1620	0.5988964124	0.7822916438
1625	0.598834437	0.7822378947
1630	0.5987759773	0.7821678613
1635	0.5987249989	0.7820929603
1640	0.5986954829	0.7820371066
1645	0.5986458126	0.7819752108
1650	0.5986194853	0.7819267728
1655	0.5985857177	0.7818870372
1660	0.5985675666	0.7818659139
1665	0.5985506828	0.7818274825
1670	0.5985179372	0.7817969713
1675	0.59846516	0.7817299053
1680	0.5984532637	0.781717119
1685	0.5984244018	0.781682132
1690	0.598368722	0.7816185867
1695	0.5983062151	0.7815515577
1700	0.598296649	0.7815309483
1705	0.5982179942	0.7814606161
1710	0.598191626	0.7814213015
1715	0.5981453897	0.7813761515
1720	0.5981128894	0.7813338765
1725	0.5980724583	0.7812850063
1730	0.5980303101	0.7812255627
1735	0.5979456866	0.7811102468
1740	0.5978798275	0.7810447445
1745	0.5978479813	0.7809936315
1750	0.5978044841	0.7809326214
1755	0.5977545685	0.7808540419
1760	0.597727301	0.7808278383
1765	0.5976655708	0.7807539083
1770	0.5976412467	0.7807304242
1775	0.5975993847	0.7806832181
1780	0.5975748562	0.7806591296
1785	0.5975332394	0.7806150614
1790	0.597494934	0.7805454846
1795	0.5974516003	0.7805038718
1800	0.5973917916	0.7804174964
1805	0.5973547535	0.7803722359
1810	0.5973160802	0.7803231745
1815	0.5972805138	0.7802688445
1820	0.5972444569	0.7802336354
1825	0.5972165761	0.7802025641
1830	0.5971641259	0.7801328458
1835	0.5971367358	0.7801118059
1840	0.5971082418	0.7800668945
1845	0.5970686282	0.7800254919
1850	0.5970293417	0.7799782432
1855	0.596980489	0.7799439382
1860	0.5969424698	0.7798694527
1865	0.5968748119	0.7797969261
1870	0.5968509784	0.7797669122
1875	0.5968078899	0.7797166854
1880	0.596758097	0.7796747137
1885	0.5967046248	0.7796336312
1890	0.5966648886	0.7795768671
1895	0.5966234354	0.7795383229
1900	0.5965757274	0.7794833613
1905	0.5965364	0.7794431865
1910	0.596506189	0.7793970302
1915	0.5964536571	0.7793200794
1920	0.5963830558	0.7792286675
1925	0.5963226339	0.7791722937
1930	0.5962634792	0.7790692416
1935	0.5962431614	0.7790472547
1940	0.5962077177	0.7790176317
1945	0.5961689218	0.7789819462
1950	0.5961429624	0.7789446584
1955	0.5961210911	0.778897344
1960	0.5960630812	0.7788305008
1965	0.5960250211	0.7788013945
1970	0.5959771087	0.7787506068
1975	0.5959582217	0.7787248573
1980	0.5959143974	0.7786654807
1985	0.5958933029	0.7786288077
1990	0.5958506232	0.7785604449
1995	0.5957853773	0.7785183584
1999	0.5957485028	0.7784785539
