GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
여,40.0,2,2,1,2,2,2,1,7,3,2.0,9,남도꽃정원,4.0
여,30.0,2,4,2,2,3,3,2,6,8,0.0,3,용산역,4.0
여,30.0,3,1,6,2,4,3,6,6,3,1.0,1,서울숲,5.0
남,30.0,1,4,1,4,1,1,4,7,3,1.0,22,대신농협하나로마트,5.0
여,20.0,2,1,4,3,2,4,4,6,2,1.0,8,메가박스 의정부민락,5.0
여,30.0,1,1,4,1,4,4,4,3,9,4.0,8,아침고요수목원,5.0
여,50.0,3,6,4,2,1,6,2,7,4,0.0,2,수블라키아 콩스탕스,4.0
여,20.0,5,1,2,3,5,6,6,5,1,1.0,3,다비치안경 명동점,3.0
여,20.0,2,2,1,3,3,2,6,5,1,1.0,22,호맥 평택역점,4.0
남,30.0,2,5,2,2,4,5,3,5,8,1.0,3,동인동,3.0
남,50.0,1,1,6,1,1,6,3,4,1,1.0,26,인생네컷 김포라베니체수변공원점,4.0
남,50.0,4,1,1,1,1,4,2,4,3,2.0,1,두타.밀리오레,5.0
여,30.0,4,3,4,3,4,5,5,7,7,1.0,9,카페노티드 청담,4.0
여,20.0,7,1,1,3,7,7,3,6,7,0.0,1,동서울종합터미널,1.0
남,30.0,7,1,6,1,1,4,5,6,1,0.0,22,파크하얏트 서울,5.0
여,20.0,7,4,1,1,5,4,3,1,2,0.0,1,벨라쿠키 연남,4.0
남,20.0,5,1,1,4,4,4,2,7,3,1.0,4,남산공원,4.0
여,30.0,2,2,1,1,1,2,1,7,1,1.0,1,BEP 2호점,3.0
여,20.0,3,2,2,2,2,6,6,6,3,2.0,3,봄날아트홀,4.0
남,20.0,4,3,2,2,6,2,2,5,7,0.0,22,빈티지패션팩토리 용인본점,3.0
남,30.0,1,1,1,1,1,1,4,7,1,0.0,22,카페 얼트,5.0
여,30.0,4,2,4,1,4,4,4,6,3,1.0,6,코엑스,4.0
여,50.0,3,1,1,5,4,4,2,2,3,4.0,3,회뜨는총각,3.0
여,40.0,1,1,1,1,1,1,7,1,3,11.0,10,초가집,4.0
여,30.0,1,3,3,4,3,4,5,2,6,1.0,26,우마이도 건대점,5.0
여,30.0,3,1,1,4,7,2,7,7,1,5.0,2,에버랜드,5.0
남,20.0,1,1,2,3,1,1,6,7,2,3.0,8,봉순대,5.0
여,30.0,4,1,4,4,1,4,7,4,7,1.0,2,여의도한강공원,4.0
여,20.0,2,2,2,2,2,5,2,6,1,1.0,1,파주프리미엄아울렛,4.0
남,30.0,6,1,1,3,1,7,7,1,2,1.0,6,교하제면소,4.0
여,20.0,1,4,3,5,2,4,6,4,1,3.0,21,OK마트 양수점,3.0
여,20.0,3,3,2,3,2,2,4,7,4,1.0,22,성수족발,5.0
여,20.0,4,3,4,4,3,4,5,5,3,1.0,22,두물머리,4.0
여,50.0,4,6,7,1,5,6,5,2,3,1.0,4,익산역,4.0
여,20.0,2,2,2,5,3,2,6,6,3,1.0,2,용산역,3.0
남,30.0,6,2,3,3,3,5,5,3,1,1.0,1,울산역,4.0
남,20.0,3,5,5,2,2,5,5,2,2,0.0,1,하야시,4.0
여,40.0,1,1,1,3,1,1,4,4,1,7.0,3,JW메리어트동대문스퀘어서울,5.0
남,20.0,6,2,2,6,2,2,6,5,1,0.0,1,경의선책거리,4.0
남,20.0,1,1,1,4,4,5,2,6,2,0.0,8,율동공원,5.0
여,50.0,3,3,3,4,3,3,3,3,1,3.0,24,평택역,4.0
여,30.0,4,1,3,1,5,6,4,7,1,2.0,6,남이섬안반지닭갈비 1호점,5.0
여,20.0,4,1,2,2,2,4,2,7,5,1.0,10,망원한강공원,4.0
남,50.0,1,3,2,3,2,3,1,4,2,1.0,6,오이도 빨강등대,4.0
여,20.0,3,6,4,5,2,3,7,2,1,1.0,1,광주송정역,4.0
여,50.0,2,2,1,2,1,2,1,2,1,1.0,6,파주출판도시 휴게소,4.0
여,40.0,1,3,2,4,6,6,6,6,8,2.0,11,철원한탄강 주상절리길,4.0
여,30.0,2,1,3,2,4,1,2,6,3,1.0,8,토닭토닭 숯불닭갈비,4.0
남,20.0,7,3,6,2,2,2,1,5,1,1.0,6,온기정,5.0
여,40.0,4,4,4,4,4,4,4,4,2,0.0,2,오이도,4.0
남,20.0,3,5,5,2,2,5,5,2,2,0.0,1,발리맥주 본점,5.0
여,20.0,3,2,1,6,6,3,2,6,3,3.0,2,제이드가든수목원,5.0
남,20.0,6,2,2,2,6,3,1,6,1,0.0,6,클럽케이서울,5.0
여,30.0,2,4,1,2,1,1,6,2,2,1.0,23,장어독립,5.0
여,30.0,6,2,1,3,6,3,6,7,7,1.0,22,랜디스도넛 안국점,3.0
여,20.0,3,3,2,3,5,5,6,3,6,0.0,6,멜로워 성수플래그쉽,4.0
여,20.0,6,2,2,2,2,5,3,6,7,0.0,6,탄탄면공방 파르나스몰점,4.0
여,30.0,4,4,1,1,4,7,1,7,7,1.0,8,시흥오이도박물관,5.0
여,20.0,4,2,1,7,7,5,1,7,2,1.0,4,토마토김밥,3.0
여,50.0,6,4,3,4,4,4,2,2,1,0.0,3,롯데몰 수원점,4.0
남,30.0,3,1,1,4,3,4,1,5,8,0.0,3,장안공원 화서문,4.0
여,40.0,1,4,3,2,2,4,4,6,1,1.0,6,장암역 7호선,3.0
남,20.0,3,3,4,3,4,5,5,5,3,1.0,3,오이도 바다,5.0
남,20.0,4,3,1,4,5,4,2,4,6,0.0,5,소바의온도,4.0
남,30.0,2,5,2,2,1,2,4,4,2,1.0,21,여의도한강공원,5.0
남,40.0,3,2,2,2,3,5,5,5,1,1.0,24,아웃백스테이크하우스 하남스타필드점,4.0
남,20.0,4,1,3,3,2,2,2,2,3,1.0,2,서울특별시 구로구 공원로8길 49,4.0
남,40.0,2,6,2,3,6,6,6,6,3,3.0,6,동대문 문구완구시장,3.0
여,40.0,4,4,3,5,5,3,5,3,2,2.0,21,물의정원,5.0
여,30.0,2,4,2,4,3,4,3,6,3,3.0,2,이정웅 스페이스,4.0
여,40.0,2,4,2,4,2,3,4,3,7,1.0,2,아산마트 오송점,3.0
남,20.0,6,1,3,6,5,6,1,7,1,0.0,4,전쟁기념관,5.0
남,30.0,4,2,5,3,4,6,2,6,3,3.0,2,시골향기 운양점,4.0
남,30.0,5,6,5,4,5,5,6,4,1,1.0,2,파주닭국수 파주본점,4.0
남,20.0,2,2,3,6,4,4,3,6,1,0.0,22,투스텝,3.0
여,30.0,4,3,5,3,2,4,5,3,10,3.0,1,싸다김밥 성신여대점,4.0
여,20.0,2,2,4,4,2,2,6,6,2,1.0,3,호텔더디자이너스 DDP점,5.0
남,20.0,3,2,3,2,2,5,3,6,3,1.0,21,경춘선 시간여행 거리,4.0
남,30.0,4,1,3,3,2,3,6,3,7,0.0,4,판교환경생태학습원,4.0
남,40.0,3,1,5,4,1,4,2,6,1,0.0,6,인천세관역사공원,5.0
남,30.0,2,1,1,1,2,1,4,6,2,4.0,5,훼릭스 숲속에서그릴,5.0
여,40.0,3,2,5,2,3,2,1,6,10,2.0,2,화담숲,5.0
남,20.0,2,2,3,3,5,2,6,6,2,0.0,27,더수제비 남양주본점,4.0
여,30.0,3,3,2,3,4,1,4,7,5,1.0,22,이천 문화의거리,3.0
여,30.0,4,5,2,2,2,6,6,2,3,1.0,5,남이섬,4.0
남,20.0,6,1,2,2,1,5,3,4,2,1.0,6,일산호수공원,4.0
여,40.0,4,6,2,2,2,4,2,4,1,0.0,2,스타벅스 김포장기커낼점,4.0
여,50.0,6,6,4,1,1,4,5,5,5,0.0,1,인터컨티넨탈 서울코엑스,4.0
남,30.0,2,1,2,6,2,3,2,6,3,3.0,1,새마을전통시장,4.0
여,30.0,2,2,2,1,3,6,2,6,3,2.0,23,탄도항,5.0
여,40.0,3,2,3,2,3,5,3,5,8,4.0,3,웨스틴조선 수영장,5.0
여,30.0,4,2,4,2,4,6,5,4,7,1.0,10,털보네바베큐 미사동본점,5.0
여,20.0,6,1,6,5,5,6,2,2,1,0.0,3,롯데백화점 청량리점,4.0
여,20.0,7,1,6,3,6,6,3,3,1,3.0,1,일상비일상의틈,4.0
여,30.0,5,2,1,3,4,3,2,7,1,0.0,3,청와정 카페&펜션,4.0
여,30.0,3,2,5,5,2,4,6,7,5,1.0,21,한강중앙공원,5.0
여,30.0,2,2,2,2,5,6,2,7,7,0.0,22,올댓커피 더현대서울점,5.0
여,20.0,1,2,1,6,4,3,6,5,4,0.0,28,청계산,5.0
남,50.0,4,2,5,2,2,4,5,3,7,0.0,1,이천돌솥밥,5.0
여,30.0,2,1,6,2,4,6,6,2,8,2.0,2,김포국제공항 국내선,5.0
남,20.0,3,1,1,3,4,2,1,6,1,1.0,23,명동닭한마리 시조점,5.0
여,20.0,3,2,1,2,2,3,4,4,1,1.0,2,서울역,5.0
여,30.0,2,2,4,3,4,4,1,7,1,2.0,22,힐링닭갈비,5.0
남,30.0,1,2,4,6,6,3,2,6,8,0.0,3,수원팔색길 화성성곽길,4.0
여,20.0,2,2,5,3,3,3,5,6,3,1.0,22,친구집,4.0
남,40.0,2,2,2,6,3,3,5,5,8,0.0,3,화성관광열차안내소 연무대매표소,2.0
여,30.0,4,4,2,1,4,6,5,3,2,0.0,3,수원탑동시민농장,3.0
남,40.0,2,2,2,2,3,6,2,4,2,2.0,23,롤링힐스호텔,5.0
여,30.0,2,2,2,2,2,1,4,3,2,0.0,1,그랜드워커힐서울 컨벤션센터,3.0
여,20.0,7,1,1,1,7,7,7,3,9,1.0,9,글래드 여의도,5.0
남,20.0,7,1,2,2,4,3,1,7,1,1.0,4,동서울종합터미널,3.0
여,30.0,1,1,4,1,7,7,1,7,6,0.0,2,이디야커피 시흥배곧신도시점,5.0
여,30.0,4,3,1,3,4,4,1,7,1,1.0,22,LCDC서울,5.0
여,30.0,4,2,4,3,2,5,6,1,4,0.0,4,반치앙마이,4.0
여,20.0,4,2,2,6,5,5,2,6,3,5.0,2,서울역,5.0
남,20.0,1,4,4,1,1,3,1,7,1,4.0,5,워터플레이 수상레저,5.0
여,20.0,5,2,1,3,4,5,5,1,3,1.0,3,아브뉴프랑 광명,5.0
여,20.0,3,2,2,4,6,2,6,6,2,3.0,22,연하동,3.0
남,30.0,6,4,3,3,5,5,3,3,2,1.0,23,안다즈 서울강남,5.0
여,30.0,4,1,4,3,5,6,2,2,8,0.0,3,일산호수공원,5.0
여,20.0,4,1,1,5,5,6,7,6,3,1.0,1,안국역 3호선,4.0
여,20.0,7,1,2,7,6,6,2,3,2,0.0,26,도트블랭킷,4.0
남,20.0,2,2,1,6,3,2,6,2,7,1.0,2,허브아일랜드,4.0
남,30.0,2,1,2,6,2,3,2,6,3,3.0,1,잠실한강공원,4.0
남,30.0,2,3,2,2,6,6,1,7,3,2.0,5,명지반점,5.0
남,30.0,1,1,7,4,1,4,4,1,1,0.0,3,화성행궁광장,5.0
남,20.0,2,2,2,3,5,4,6,7,2,1.0,1,스타필드 하남,3.0
남,30.0,2,1,2,1,5,5,6,6,3,1.0,1,대운이엔지주유소,3.0
여,20.0,4,1,4,6,2,6,1,2,1,0.0,10,금융감독원,4.0
여,30.0,2,4,2,2,3,3,2,6,8,0.0,3,청계천,4.0
남,30.0,1,4,1,4,3,3,2,3,3,1.0,2,카페모굴,3.0
여,30.0,6,1,6,2,1,7,1,6,3,1.0,22,폴바셋 송도트리플스트리트점,5.0
남,40.0,2,2,3,1,2,6,2,6,1,0.0,21,써브웨이 인천송도트리플스트리트점,3.0
여,30.0,4,7,2,5,6,7,7,7,1,0.0,1,경기도남한산성세계유산센터,5.0
여,20.0,3,1,1,2,1,1,2,7,2,3.0,3,청년다방 인천삼산점,5.0
남,30.0,2,3,3,4,3,5,3,4,2,0.0,3,노원문화의거리,4.0
남,30.0,4,3,1,3,1,1,1,7,1,1.0,12,정지영커피로스터즈 화홍문점,4.0
남,30.0,1,2,3,4,1,4,7,5,1,0.0,3,카페시차,4.0
남,20.0,4,1,2,2,3,5,2,5,2,0.0,7,영빈루,5.0
여,20.0,4,1,1,2,3,5,3,6,3,1.0,22,에버랜드,3.0
남,20.0,6,1,2,2,1,5,3,4,2,1.0,6,퀸타운호텔,4.0
남,30.0,5,1,2,2,4,2,3,6,2,1.0,3,오이도명물등대빵,4.0
여,30.0,4,2,4,4,4,5,2,6,4,0.0,6,잠실종합운동장 실내체육관,5.0
여,20.0,3,2,4,2,2,4,5,4,10,0.0,1,까르보마마,3.0
여,20.0,7,7,5,1,5,5,3,3,7,0.0,11,국립현대미술관 서울관,5.0
여,20.0,2,1,4,3,5,6,1,7,1,0.0,1,매니베리머치,5.0
남,20.0,1,1,1,3,7,2,6,7,7,1.0,8,어텐디드가든카페,5.0
남,20.0,7,1,1,1,7,7,1,4,3,1.0,1,청량리역,5.0
남,40.0,1,6,1,4,4,5,5,7,5,1.0,22,낙천지,3.0
여,30.0,4,1,4,6,2,4,3,3,1,1.0,6,송도센트럴파크,5.0
여,50.0,1,1,1,4,3,4,2,5,3,1.0,1,낙생대공원,5.0
여,30.0,6,6,2,7,7,7,1,3,8,1.0,25,남산케이블카,4.0
남,20.0,6,2,1,3,5,3,1,7,7,1.0,6,서울특별시 광진구 광장동 워커힐 가는 산책로,4.0
여,40.0,4,7,3,6,3,6,6,4,3,1.0,24,구봉양식장,5.0
남,20.0,6,4,4,5,4,5,5,4,4,0.0,1,미도인 의정부역점,5.0
남,40.0,2,1,6,1,1,6,7,6,2,5.0,27,가평군농협하나로마트 본점,4.0
남,40.0,2,2,6,4,2,4,6,1,8,4.0,3,수원화성 국궁체험장,4.0
남,20.0,3,2,1,7,5,4,2,7,7,0.0,2,훼미리사우나파크,4.0
남,40.0,2,6,2,1,2,2,4,3,6,3.0,5,토종순대가,3.0
여,60.0,3,7,5,3,3,4,3,3,2,0.0,4,의정부음악도서관,4.0
여,60.0,1,1,7,5,5,6,7,4,3,1.0,3,화성행궁,5.0
남,40.0,2,4,6,2,4,5,3,1,3,2.0,3,온더보더 광화문D타워점,3.0
여,30.0,7,7,7,7,1,7,4,7,3,3.0,2,월미테마파크,4.0
여,30.0,3,3,2,6,2,2,6,4,1,0.0,3,AK플라자 AKTown점,4.0
남,50.0,1,1,1,4,4,4,4,6,3,2.0,4,인천차이나타운,4.0
여,40.0,1,4,4,1,1,4,1,1,3,4.0,1,동작구민체육센터,4.0
남,40.0,2,2,2,4,6,4,2,3,7,2.0,6,일산호수공원,5.0
남,60.0,3,4,7,2,2,4,4,4,6,2.0,2,강남면옥 수원점,4.0
여,20.0,1,1,4,3,6,2,1,5,3,7.0,22,롯데마트 제타플렉스,5.0
여,40.0,6,2,4,1,7,7,7,2,8,0.0,3,서울역,4.0
여,20.0,1,1,1,5,5,2,1,5,2,0.0,3,탭,3.0
남,30.0,2,2,2,5,2,1,1,3,1,1.0,8,인천환경공단 송도스포츠파크 캠핑장,5.0
남,30.0,1,1,1,5,5,3,6,7,3,5.0,5,해밀펜션,4.0
여,20.0,3,1,2,2,3,4,1,3,2,0.0,22,가평 조은마트,4.0
여,50.0,1,4,4,1,1,7,1,7,3,2.0,2,배부장찌개 광교법조단지점,5.0
남,50.0,6,2,2,4,5,3,3,3,7,0.0,21,부평문화의거리,4.0
여,30.0,1,1,1,2,3,2,6,6,7,0.0,3,화성행궁,5.0
여,20.0,3,6,5,3,6,4,5,3,2,1.0,2,베스트웨스턴 하버파크호텔,5.0
여,20.0,2,1,2,1,2,2,6,7,3,3.0,8,광명역,4.0
여,20.0,6,2,2,2,1,1,6,6,1,1.0,26,여의도한강공원,5.0
여,40.0,2,1,7,2,1,7,2,6,4,0.0,3,흥인지문.광장시장,4.0
남,20.0,3,2,1,7,5,4,2,7,7,0.0,2,아트스페이스J,5.0
여,30.0,3,1,3,3,4,4,7,6,1,0.0,3,화성행궁,4.0
여,30.0,2,1,2,3,6,7,7,7,9,3.0,9,두물머리연핫도그,5.0
여,40.0,1,1,1,3,1,1,4,4,1,7.0,3,흥인지문공원,5.0
남,50.0,4,5,6,5,4,5,4,6,7,0.0,1,진약국,4.0
여,30.0,4,4,4,4,4,4,4,4,3,5.0,7,카페숨,4.0
남,30.0,2,1,2,1,6,1,7,4,5,1.0,21,스타벅스 남이섬점,4.0
여,20.0,4,4,3,3,2,4,2,7,6,2.0,23,양재동꽃시장,3.0
남,20.0,6,1,1,1,5,6,5,5,4,0.0,6,소바식당 성수점,4.0
남,30.0,4,6,4,4,2,2,6,5,3,3.0,24,트리플스트리트,5.0
여,40.0,2,6,2,3,2,3,2,6,1,0.0,13,죽산시외버스터미널,3.0
남,40.0,3,2,5,4,3,5,3,5,2,1.0,1,이마트 포천점,5.0
여,20.0,4,3,2,1,4,2,3,6,5,1.0,6,빠레뜨한남 김포라베니체점,5.0
여,50.0,2,4,2,3,4,2,2,6,10,1.0,21,재인폭포,5.0
남,20.0,5,2,4,4,4,4,4,4,2,0.0,4,틴틴홀,5.0
남,30.0,2,2,3,2,3,2,3,5,1,0.0,28,테라로사 서종점,5.0
여,30.0,5,3,2,5,6,6,2,2,7,1.0,9,도원대중사우나,5.0
남,20.0,6,1,3,2,1,6,2,7,3,1.0,1,인천도시역사관,5.0
남,20.0,4,2,2,5,2,2,1,6,6,0.0,7,이촌한강공원,4.0
여,50.0,5,5,6,2,2,3,2,5,3,1.0,1,고구려짬뽕10101 인천계양점,4.0
남,20.0,3,2,2,3,7,5,6,6,3,1.0,23,감성216,5.0
남,50.0,2,3,6,3,2,4,2,6,1,0.0,1,광장김밥,3.0
남,20.0,4,1,3,2,3,4,6,4,7,1.0,6,마포 걷고싶은길 4코스,5.0
남,20.0,7,1,1,7,7,1,3,7,1,0.0,26,챔프커피 2작업실,4.0
남,20.0,6,1,4,2,2,4,7,7,4,0.0,1,서울고속버스터미널(경부),3.0
여,20.0,1,1,7,1,1,1,7,1,1,0.0,23,목시서울인사동,5.0
여,30.0,4,4,3,4,4,3,5,6,1,1.0,23,랑데자뷰 부천점,5.0
여,30.0,2,5,1,6,2,6,7,7,1,1.0,22,카페109하우스,4.0
여,20.0,4,3,3,4,4,5,5,5,4,0.0,6,반포한강공원 달빛광장,4.0
남,60.0,1,4,4,3,1,2,7,3,2,3.0,3,용산역사박물관,5.0
남,20.0,7,1,1,1,7,7,1,4,3,1.0,1,AK플라자 AKTown점,5.0
남,40.0,2,2,2,4,3,4,3,4,3,2.0,2,제줏간,3.0
여,40.0,7,7,1,7,7,7,7,7,5,4.0,2,롯데월드,4.0
여,30.0,4,2,6,1,4,6,1,5,1,1.0,6,춘천골닭갈비,4.0
여,20.0,2,1,6,1,2,7,7,7,1,1.0,7,신세계백화점 강남점,4.0
남,20.0,1,1,2,1,1,1,4,3,1,0.0,25,수정사우나,3.0
여,20.0,5,2,1,3,4,5,5,1,3,1.0,3,호텔아르떼,4.0
여,20.0,6,2,2,2,1,1,6,6,1,1.0,26,또보겠지떡볶이집 호호시스터점,5.0
여,40.0,4,3,2,3,1,4,6,2,1,0.0,2,정읍역,5.0
여,30.0,2,2,2,2,4,5,2,6,9,1.0,2,가평 JH풀빌라,5.0
여,30.0,1,1,1,2,7,1,2,7,3,2.0,3,전통술박물관산사원 본원,5.0
여,20.0,5,2,5,3,3,6,6,2,1,0.0,3,드라마 “그해우리는” 촬영지,4.0
여,20.0,7,2,2,1,4,5,3,5,3,1.0,2,현대백화점 판교점,4.0
여,30.0,1,1,1,3,3,2,6,6,1,0.0,3,하이커그라운드,4.0
여,20.0,2,4,2,2,4,2,2,6,2,0.0,6,수원시립미술관,4.0
남,30.0,4,1,2,5,1,5,6,3,2,1.0,23,조무락닭갈비,5.0
남,20.0,4,4,1,4,7,7,1,7,1,1.0,6,미도인 파이낸스여의도점,5.0
남,20.0,7,1,5,1,1,5,1,4,3,2.0,23,로도스피자,5.0
남,30.0,4,2,3,3,1,3,3,3,2,0.0,21,두원빌딩,4.0
남,30.0,2,4,2,4,2,3,2,5,7,0.0,2,진미통닭,4.0
남,30.0,6,6,6,2,2,6,2,3,1,5.0,25,베이커리 씨어터 수목원,3.0
여,20.0,7,1,1,3,7,7,3,6,7,0.0,1,도산맘마,5.0
여,50.0,1,1,7,1,1,1,7,1,4,0.0,13,흑석시장,5.0
여,20.0,4,4,3,3,2,4,2,7,6,2.0,23,힐튼가든인 서울강남점,5.0
여,20.0,1,1,1,1,1,1,1,1,1,0.0,22,콤콤오락실,5.0
남,50.0,2,4,2,4,6,4,2,6,3,1.0,3,장안통닭,5.0
남,30.0,7,1,6,1,1,4,5,6,1,0.0,22,파크하얏트 서울,5.0
여,30.0,2,2,2,3,4,2,3,7,2,4.0,21,고석정,4.0
여,30.0,2,3,3,2,4,3,3,6,1,1.0,6,다만프레르 SFC점,4.0
남,20.0,6,1,3,6,5,6,1,7,1,0.0,4,동대문 문구완구시장,5.0
여,30.0,2,2,2,6,2,2,2,7,3,3.0,2,신세계백화점 강남점,4.0
남,20.0,7,1,1,2,2,1,1,1,9,1.0,9,하남돼지집 대학로점,4.0
여,20.0,2,3,1,1,4,5,2,7,7,1.0,22,양산주유소,4.0
여,40.0,4,7,3,6,3,6,6,4,3,1.0,24,빈솔트,3.0
여,30.0,5,1,2,2,2,3,6,6,1,3.0,23,남한산성둘레길 2코스,5.0
여,30.0,2,1,1,4,4,1,1,7,3,1.0,8,자라섬,5.0
여,30.0,4,4,2,1,4,6,5,3,2,0.0,3,수원화성 화홍문 안내소,3.0
여,20.0,4,1,1,3,6,4,1,6,1,3.0,22,연세대학교 신촌캠퍼스,3.0
여,30.0,6,3,6,6,6,2,6,7,8,0.0,1,마이시크릿덴,5.0
여,30.0,4,3,2,3,4,3,2,6,3,1.0,1,경복궁,5.0
남,20.0,4,2,2,3,1,3,5,3,8,1.0,6,종로빈대떡 광화문점,3.0
남,20.0,5,1,1,7,1,1,7,7,1,0.0,1,서울어린이대공원 동물원,5.0
남,40.0,1,2,1,2,4,2,4,6,3,14.0,22,대부도 로그인 펜션,3.0
여,40.0,2,2,2,2,6,2,5,3,1,0.0,1,초이댄스 스튜디오,4.0
여,30.0,2,2,1,6,7,6,2,7,3,3.0,21,가락동농수산물도매시장 수산시장,5.0
여,30.0,1,1,1,1,1,1,2,5,1,1.0,1,남사화훼집하장,5.0
여,50.0,2,2,2,5,2,5,7,5,2,0.0,1,돈주는남자 본점,5.0
여,50.0,1,4,4,1,1,7,1,7,3,2.0,2,당거쉼터,5.0
여,50.0,3,3,3,4,3,3,3,3,1,3.0,24,성환역,4.0
남,30.0,7,1,4,2,1,4,6,7,2,1.0,7,모스버거 센트럴시티점,5.0
여,50.0,6,2,4,2,6,4,2,6,7,0.0,1,숭례문,4.0
여,30.0,4,7,1,7,4,7,1,7,1,2.0,27,남촌순두부 금오점,4.0
남,30.0,4,1,2,2,3,6,5,5,3,3.0,4,카페빵선생 소래포구점,5.0
남,40.0,4,4,2,2,4,4,2,6,1,3.0,2,서울랜드,4.0
여,40.0,1,4,4,3,4,3,5,3,1,0.0,6,경복궁,5.0
여,20.0,4,2,3,2,3,2,5,4,3,1.0,1,코트야드 바이 메리어트 수원,5.0
여,40.0,1,2,2,4,3,4,5,2,1,4.0,22,복골캠프,4.0
남,30.0,4,3,1,3,1,1,1,7,1,1.0,12,수안주유소,4.0
남,40.0,3,6,1,4,7,2,1,6,1,1.0,2,e편한세상부평역센트럴파크아파트,3.0
남,30.0,2,3,4,4,5,5,3,4,2,1.0,8,두물머리 공영주차장,5.0
여,20.0,4,4,1,1,4,7,7,7,9,2.0,9,이태원역교차로,5.0
남,40.0,6,6,6,5,6,6,6,2,2,4.0,6,낙동강구미휴게소 상주방향,5.0
남,30.0,3,2,1,5,6,5,5,5,9,1.0,23,석촌호수 동호,5.0
남,20.0,3,3,3,4,2,3,5,4,3,1.0,4,엔터식스 왕십리역점,5.0
여,30.0,2,2,1,6,7,1,2,3,7,0.0,2,우장산공원산책길,5.0
남,40.0,4,4,4,4,4,4,4,4,3,3.0,5,리버레전드키즈,5.0
여,20.0,3,2,1,1,4,6,2,7,2,0.0,9,화담숲 곤충생태관,4.0
여,30.0,4,5,4,6,5,5,5,4,3,1.0,2,오릴리도넛,4.0
남,50.0,3,2,1,4,6,5,2,4,3,1.0,2,니지모리스튜디오,5.0
남,30.0,4,2,2,1,3,1,6,6,5,1.0,1,현대프리미엄아울렛 김포점,4.0
여,20.0,4,3,1,3,4,3,4,6,1,2.0,3,소테츠프레사 인서울명동,4.0
여,20.0,2,1,3,3,5,5,2,3,7,0.0,3,청계천,4.0
남,20.0,3,2,1,6,7,2,5,5,1,0.0,5,끌리마,5.0
